ano,mes,dia,hora,angulo,intensidade,uwind,vwind
2022,01,07,15,214.0,2.4,1.3421,1.9897
2022,01,07,16,216.0,3.2,1.8809,2.5889
2022,01,07,17,207.0,3.0,1.362,2.673
2022,01,07,18,201.0,3.2,1.1468,2.9875
2022,01,07,19,200.0,2.6,0.8893,2.4432
2022,01,07,20,202.0,3.1,1.1613,2.8743
2022,01,07,21,205.0,2.5,1.0565,2.2658
2022,01,07,22,205.0,1.6,0.6762,1.4501
2022,01,07,23,189.0,1.3,0.2034,1.284
2022,01,08,0,174.0,0.6,-0.0627,0.5967
2022,01,08,1,202.0,1.1,0.4121,1.0199
2022,01,08,2,225.0,0.6,0.4243,0.4243
2022,01,08,3,240.0,0.5,0.433,0.25
2022,01,08,4,192.0,0.5,0.104,0.4891
2022,01,08,5,199.0,1.2,0.3907,1.1346
2022,01,08,6,264.0,0.5,0.4973,0.0523
2022,01,08,7,273.0,0.2,0.1997,-0.0105
2022,01,08,8,13.0,0.2,-0.045,-0.1949
2022,01,08,9,359.0,0.5,0.0087,-0.4999
2022,01,08,10,350.0,0.7,0.1216,-0.6894
2022,01,08,11,167.0,1.2,-0.2699,1.1692
2022,01,08,12,210.0,1.5,0.75,1.299
2022,01,08,13,124.0,1.0,-0.829,0.5592
2022,01,08,14,182.0,1.7,0.0593,1.699
2022,01,08,15,188.0,1.5,0.2088,1.4854
2022,01,08,16,108.0,1.3,-1.2364,0.4017
2022,01,08,17,120.0,1.0,-0.866,0.5
2022,01,08,18,317.0,0.6,0.4092,-0.4388
2022,01,08,19,171.0,0.9,-0.1408,0.8889
2022,01,08,20,190.0,1.5,0.2605,1.4772
2022,01,08,21,195.0,1.2,0.3106,1.1591
2022,01,08,22,283.0,1.0,0.9744,-0.225
2022,01,08,23,289.0,0.6,0.5673,-0.1953
2022,01,09,0,247.0,0.6,0.5523,0.2344
2022,01,09,1,322.0,0.3,0.1847,-0.2364
2022,01,09,2,208.0,0.6,0.2817,0.5298
2022,01,09,3,227.0,0.3,0.2194,0.2046
2022,01,09,4,228.0,0.3,0.2229,0.2007
2022,01,09,5,142.0,0.7,-0.431,0.5516
2022,01,09,6,185.0,0.7,0.061,0.6973
2022,01,09,7,179.0,1.6,-0.0279,1.5998
2022,01,09,8,168.0,0.8,-0.1663,0.7825
2022,01,09,9,139.0,0.5,-0.328,0.3774
2022,01,09,10,10.0,0.5,-0.0868,-0.4924
2022,01,09,11,299.0,0.4,0.3498,-0.1939
2022,01,09,12,295.0,0.8,0.725,-0.3381
2022,01,09,13,305.0,0.9,0.7372,-0.5162
2022,01,09,14,337.0,0.7,0.2735,-0.6444
2022,01,09,15,303.0,1.0,0.8387,-0.5446
2022,01,09,16,295.0,0.9,0.8157,-0.3804
2022,01,09,17,41.0,1.5,-0.9841,-1.1321
2022,01,09,18,103.0,1.2,-1.1692,0.2699
2022,01,09,19,317.0,0.5,0.341,-0.3657
2022,01,09,20,195.0,1.4,0.3623,1.3523
2022,01,09,21,172.0,0.9,-0.1253,0.8912
2022,01,09,22,169.0,1.2,-0.229,1.178
2022,01,09,23,173.0,1.4,-0.1706,1.3896
2022,01,10,0,163.0,0.6,-0.1754,0.5738
2022,01,10,1,152.0,0.6,-0.2817,0.5298
2022,01,10,2,135.0,0.5,-0.3536,0.3536
2022,01,10,3,111.0,0.5,-0.4668,0.1792
2022,01,10,4,226.0,0.1,0.0719,0.0695
2022,01,10,5,86.0,0.5,-0.4988,-0.0349
2022,01,10,6,117.0,0.4,-0.3564,0.1816
2022,01,10,7,137.0,0.6,-0.4092,0.4388
2022,01,10,8,157.0,0.7,-0.2735,0.6444
2022,01,10,9,182.0,0.7,0.0244,0.6996
2022,01,10,10,187.0,0.5,0.0609,0.4963
2022,01,10,11,342.0,0.7,0.2163,-0.6657
2022,01,10,12,346.0,1.0,0.2419,-0.9703
2022,01,10,13,292.0,0.9,0.8345,-0.3371
2022,01,10,14,332.0,1.1,0.5164,-0.9712
2022,01,10,15,353.0,1.0,0.1219,-0.9925
2022,01,10,16,247.0,1.3,1.1967,0.508
2022,01,10,17,210.0,2.5,1.25,2.1651
2022,01,10,18,182.0,1.8,0.0628,1.7989
2022,01,10,19,179.0,2.3,-0.0401,2.2996
2022,01,10,20,196.0,2.3,0.634,2.2109
2022,01,10,21,201.0,2.5,0.8959,2.334
2022,01,10,22,189.0,2.4,0.3754,2.3705
2022,01,10,23,187.0,2.4,0.2925,2.3821
2022,01,11,0,191.0,0.9,0.1717,0.8835
2022,01,11,1,348.0,0.6,0.1247,-0.5869
2022,01,11,2,15.0,0.9,-0.2329,-0.8693
2022,01,11,3,66.0,0.6,-0.5481,-0.244
2022,01,11,4,334.0,0.5,0.2192,-0.4494
2022,01,11,5,303.0,0.4,0.3355,-0.2179
2022,01,11,6,313.0,0.4,0.2925,-0.2728
2022,01,11,7,75.0,0.7,-0.6761,-0.1812
2022,01,11,8,314.0,0.4,0.2877,-0.2779
2022,01,11,9,165.0,0.3,-0.0776,0.2898
2022,01,11,10,197.0,0.6,0.1754,0.5738
2022,01,11,11,187.0,0.6,0.0731,0.5955
2022,01,11,12,100.0,0.4,-0.3939,0.0695
2022,01,11,13,277.0,0.7,0.6948,-0.0853
2022,01,11,14,210.0,1.7,0.85,1.4722
2022,01,11,15,206.0,2.0,0.8767,1.7976
2022,01,11,16,235.0,1.0,0.8192,0.5736
2022,01,11,17,219.0,3.4,2.1397,2.6423
2022,01,11,18,174.0,2.8,-0.2927,2.7847
2022,01,11,19,190.0,3.3,0.573,3.2499
2022,01,11,20,227.0,3.4,2.4866,2.3188
2022,01,11,21,157.0,0.9,-0.3517,0.8285
2022,01,11,22,197.0,1.7,0.497,1.6257
2022,01,11,23,57.0,0.5,-0.4193,-0.2723
2022,01,12,0,83.0,0.5,-0.4963,-0.0609
2022,01,12,1,296.0,0.2,0.1798,-0.0877
2022,01,12,2,293.0,0.4,0.3682,-0.1563
2022,01,12,3,252.0,0.6,0.5706,0.1854
2022,01,12,4,159.0,0.6,-0.215,0.5601
2022,01,12,5,56.0,0.6,-0.4974,-0.3355
2022,01,12,6,27.0,0.8,-0.3632,-0.7128
2022,01,12,7,37.0,1.6,-0.9629,-1.2778
2022,01,12,8,29.0,1.4,-0.6787,-1.2245
2022,01,12,9,173.0,0.7,-0.0853,0.6948
2022,01,12,10,111.0,0.6,-0.5601,0.215
2022,01,12,11,267.0,0.5,0.4993,0.0262
2022,01,12,12,295.0,1.1,0.9969,-0.4649
2022,01,12,13,210.0,3.7,1.85,3.2043
2022,01,12,14,189.0,2.5,0.3911,2.4692
2022,01,12,15,153.0,2.3,-1.0442,2.0493
2022,01,12,16,190.0,3.1,0.5383,3.0529
2022,01,12,17,209.0,3.5,1.6968,3.0612
2022,01,12,18,188.0,2.7,0.3758,2.6737
2022,01,12,19,170.0,2.1,-0.3647,2.0681
2022,01,12,20,142.0,1.9,-1.1698,1.4972
2022,01,12,21,181.0,2.2,0.0384,2.1997
2022,01,12,22,188.0,1.9,0.2644,1.8815
2022,01,12,23,168.0,0.9,-0.1871,0.8803
2022,01,13,0,197.0,1.2,0.3508,1.1476
2022,01,13,1,218.0,0.9,0.5541,0.7092
2022,01,13,2,138.0,0.6,-0.4015,0.4459
2022,01,13,3,173.0,1.0,-0.1219,0.9925
2022,01,13,4,95.0,0.5,-0.4981,0.0436
2022,01,13,5,92.0,0.4,-0.3998,0.014
2022,01,13,6,58.0,0.4,-0.3392,-0.212
2022,01,13,7,48.0,0.4,-0.2973,-0.2677
2022,01,13,8,28.0,0.5,-0.2347,-0.4415
2022,01,13,9,132.0,0.7,-0.5202,0.4684
2022,01,13,10,227.0,0.3,0.2194,0.2046
2022,01,13,11,232.0,0.6,0.4728,0.3694
2022,01,13,12,329.0,0.7,0.3605,-0.6
2022,01,13,13,323.0,1.0,0.6018,-0.7986
2022,01,13,14,318.0,1.1,0.736,-0.8175
2022,01,13,15,309.0,1.2,0.9326,-0.7552
2022,01,13,16,215.0,2.2,1.2619,1.8021
2022,01,13,17,138.0,2.1,-1.4052,1.5606
2022,01,13,18,199.0,2.1,0.6837,1.9856
2022,01,13,19,210.0,3.4,1.7,2.9445
2022,01,13,20,148.0,2.0,-1.0598,1.6961
2022,01,13,21,188.0,2.9,0.4036,2.8718
2022,01,13,22,169.0,1.4,-0.2671,1.3743
2022,01,13,23,195.0,1.3,0.3365,1.2557
2022,01,14,0,140.0,0.8,-0.5142,0.6128
2022,01,14,1,45.0,0.7,-0.495,-0.495
2022,01,14,2,87.0,1.1,-1.0985,-0.0576
2022,01,14,3,51.0,0.6,-0.4663,-0.3776
2022,01,14,4,172.0,0.2,-0.0278,0.1981
2022,01,14,5,117.0,0.3,-0.2673,0.1362
2022,01,14,6,122.0,0.9,-0.7632,0.4769
2022,01,14,7,142.0,0.6,-0.3694,0.4728
2022,01,14,8,158.0,0.2,-0.0749,0.1854
2022,01,14,9,326.0,0.1,0.0559,-0.0829
2022,01,14,10,291.0,0.5,0.4668,-0.1792
2022,01,14,11,184.0,0.7,0.0488,0.6983
2022,01,14,12,278.0,1.0,0.9903,-0.1392
2022,01,14,13,331.0,1.5,0.7272,-1.3119
2022,01,14,14,214.0,1.5,0.8388,1.2436
2022,01,14,15,92.0,1.2,-1.1993,0.0419
2022,01,14,16,126.0,0.9,-0.7281,0.529
2022,01,14,17,213.0,1.5,0.817,1.258
2022,01,14,18,185.0,2.7,0.2353,2.6897
2022,01,14,19,121.0,2.0,-1.7143,1.0301
2022,01,14,20,184.0,3.5,0.2441,3.4915
2022,01,14,21,186.0,3.7,0.3868,3.6797
2022,01,14,22,133.0,1.9,-1.3896,1.2958
2022,01,14,23,190.0,1.2,0.2084,1.1818
2022,01,15,0,35.0,0.5,-0.2868,-0.4096
2022,01,15,1,197.0,1.3,0.3801,1.2432
2022,01,15,2,43.0,0.5,-0.341,-0.3657
2022,01,15,3,187.0,0.2,0.0244,0.1985
2022,01,15,4,348.0,0.3,0.0624,-0.2934
2022,01,15,5,105.0,1.1,-1.0625,0.2847
2022,01,15,6,94.0,0.5,-0.4988,0.0349
2022,01,15,7,87.0,0.5,-0.4993,-0.0262
2022,01,15,8,74.0,0.6,-0.5768,-0.1654
2022,01,15,9,54.0,0.5,-0.4045,-0.2939
2022,01,15,10,57.0,1.0,-0.8387,-0.5446
2022,01,15,11,24.0,1.5,-0.6101,-1.3703
2022,01,15,12,255.0,0.8,0.7727,0.2071
2022,01,15,13,233.0,1.3,1.0382,0.7824
2022,01,15,14,203.0,2.0,0.7815,1.841
2022,01,15,15,210.0,2.6,1.3,2.2517
2022,01,15,16,181.0,2.1,0.0367,2.0997
2022,01,15,17,146.0,2.3,-1.2861,1.9068
2022,01,15,18,182.0,2.9,0.1012,2.8982
2022,01,15,19,178.0,1.5,-0.0523,1.4991
