uwind_sbgl,vwind_sbgl,uwind_sbrj,vwind_sbrj,uwind_niteroi,vwind_niteroi
-0.19,0.34,-0.01,0.26,-0.52,0.35999998
-0.14,0.14999999,-0.22,0.0,-0.52,0.19
-0.22999999,0.22,-0.32999998,-0.07,-0.48999998,0.22999999
-0.35,0.19,-0.85999995,0.04,-0.69,0.19
-0.39,0.55,-0.82,0.44,-0.77,0.35
-0.39999998,0.53999996,-0.96999997,0.32999998,-0.7,0.42999998
0.34,0.44,-0.13,0.13,0.03,0.38
0.64,0.89,0.39999998,0.68,0.59,0.74
0.39999998,0.74,0.13,0.90999997,0.45,0.78
-0.31,0.66999996,-0.53,0.94,-0.12,0.64
-0.19,1.3,-0.39999998,1.55,-0.03,1.1999999
-0.47,2.34,-0.61,2.59,-0.35,2.11
-0.53999996,2.79,-0.59,3.07,-0.44,2.46
-0.44,2.61,-0.51,2.83,-0.32999998,2.4099998
-0.61,1.49,-0.84999996,1.54,-0.29999998,1.39
-0.19,0.78,-0.29999998,0.85999995,-0.07,0.82
-0.14,0.07,-0.22,0.02,-0.14,0.07
-0.11,-0.08,-0.089999996,-0.37,-0.22,-0.24
-0.07,-0.14,-0.099999994,-0.42999998,-0.17,-0.24
0.19,0.0,0.19,-0.32,0.14,-0.03
0.58,0.04,0.62,-0.02,0.5,0.12
0.59999996,-0.06,0.72999996,0.06,0.62,0.14999999
0.38,-0.25,0.64,-0.17999999,0.59,-0.049999997
-0.39,-0.51,-0.19999999,-0.48,0.01,-0.39
-0.22999999,-0.42,-0.17999999,-0.28,-0.16,-0.41
0.01,-0.13,0.06,0.03,-0.03,-0.12
-0.19,0.0,-0.19,0.24,-0.19999999,0.049999997
-0.69,-0.55,-1.0699999,-0.45999998,-0.96999997,-0.63
-0.71999997,-0.48,-1.24,-0.55,-0.94,-0.47
-0.97999996,-0.26,-1.51,-0.14,-1.1,-0.32999998
-1.06,-0.12,-1.6999999,0.08,-1.1899999,-0.12
-1.11,0.099999994,-1.86,0.38,-1.3,0.07
-0.93,0.38,-1.87,0.65,-1.09,0.35999998
-0.65999997,0.72999996,-1.5,1.14,-0.84,0.63
-0.59,0.83,-1.61,1.39,-0.87,0.84
-0.21,0.85999995,-1.03,1.29,-0.45999998,0.83
-0.35999998,0.89,-0.90999997,1.1999999,-0.48,0.66999996
-0.45,0.7,-0.96,1.1,-0.55,0.51
-0.85999995,1.1899999,-1.3299999,1.4599999,-1.01,0.90999997
-0.44,0.52,-1.22,0.71,-0.57,0.37
0.16,0.42999998,-0.099999994,0.38,0.14,0.34
-0.04,0.44,-0.19,0.58,0.01,0.38
-0.07,0.26999998,-0.29999998,0.51,-0.17999999,0.35999998
-0.04,0.17999999,-0.28,0.41,-0.21,0.22
0.12,0.17,0.0,0.26999998,0.06,0.16
0.25,0.14999999,0.26999998,0.32999998,0.26,0.19999999
0.32,0.04,0.47,0.25,0.28,0.08
0.59999996,-0.04,0.85999995,0.22,0.62,0.06
0.69,0.02,1.0699999,0.35,0.71999997,0.22
0.76,0.14,1.2099999,0.53,0.69,0.26999998
0.42,0.08,0.77,0.42,0.47,0.29999998
-0.35,-0.84,-0.53999996,-0.93,-0.39,-0.63
-0.08,-0.71999997,-0.22,-0.83,-0.099999994,-0.61
-0.17,-0.74,-0.31,-0.84999996,-0.11,-0.61
-0.24,-0.72999996,-0.39,-0.71,-0.22,-0.61
-0.14,-0.65,-0.29,-0.38,-0.14999999,-0.57
0.25,-0.11,0.13,0.37,0.04,0.049999997
0.76,0.26999998,0.62,1.09,0.42,0.52
0.81,1.4499999,0.65,2.44,0.64,1.4699999
1.5899999,2.73,1.63,3.54,1.04,2.47
0.39,2.72,0.21,3.28,0.47,2.36
0.089999996,2.1599998,0.08,2.6499999,0.5,1.9
-0.71,1.77,-0.61,2.23,-0.71,1.26
-1.18,1.6999999,-1.51,1.87,-1.1899999,1.61
-0.57,0.58,-0.89,0.57,-0.59999996,0.53
-0.42,0.31,-0.69,0.22999999,-0.53,0.25
-0.35,0.01,-0.57,-0.089999996,-0.39999998,-0.02
-0.11,-0.11,-0.19,-0.28,-0.29999998,-0.22
-0.049999997,-0.14,-0.08,-0.34,-0.21,-0.24
-0.07,-0.099999994,-0.08,-0.19999999,-0.11,-0.17999999
0.01,-0.089999996,0.0,-0.04,-0.04,-0.16
0.06,-0.07,0.049999997,-0.01,-0.01,-0.11
0.099999994,-0.08,0.099999994,-0.03,0.06,-0.089999996
0.17,-0.049999997,0.22,0.0,0.14,-0.049999997
0.089999996,-0.04,0.17,0.04,0.08,-0.03
0.099999994,-0.81,0.17,-0.63,-0.08,-0.82
-0.17999999,-0.29,-0.21,-0.02,-0.32999998,-0.35999998
-0.42,-0.14,-0.57,0.049999997,-0.53,-0.08
-0.74,0.29,-1.02,0.37,-0.65999997,0.44
-0.76,0.57,-1.09,0.65999997,-0.74,0.75
-0.97999996,0.98999995,-1.4399999,0.91999996,-0.90999997,1.0
-1.24,1.5699999,-1.77,1.75,-1.17,1.4699999
-1.8199999,1.62,-2.4099998,1.87,-1.8299999,1.38
-2.2,1.61,-2.9199998,1.78,-2.25,1.22
-2.05,1.8399999,-2.6599998,2.3999999,-2.32,1.5699999
-2.1399999,1.56,-2.81,2.07,-2.4099998,1.3299999
-0.9,1.5699999,-1.62,1.89,-1.39,1.4499999
-1.11,2.05,-1.56,2.29,-1.27,1.86
-0.87,1.11,-1.22,1.16,-0.98999995,0.96
-0.95,0.42999998,-1.23,0.38,-1.0699999,0.13
-0.77,0.049999997,-1.02,-0.17,-0.93,-0.19999999
-0.59,-0.21,-0.78,-0.48,-0.71999997,-0.45
-0.45999998,-0.32,-0.65,-0.7,-0.45999998,-0.48
-0.06,-0.11,-0.22999999,-0.39,-0.08,-0.14
0.099999994,0.01,0.01,-0.14,0.07,-0.01
0.14999999,0.04,0.089999996,-0.06,0.12,0.03
0.049999997,-0.02,-0.01,-0.07,0.04,-0.03
0.02,-0.16,-0.07,-0.17999999,0.01,-0.14999999
0.01,-0.22999999,-0.14,-0.25,0.01,-0.21
0.02,-0.87,-0.13,-0.82,-0.049999997,-0.59
-0.26,-0.26999998,-0.5,-0.14,-0.28,-0.03
-0.62,0.19,-1.0,0.19999999,-0.65,0.41
-1.02,0.25,-1.4,0.21,-1.01,0.41
-1.37,0.38,-1.8,0.24,-1.23,0.5
-1.36,0.71999997,-1.9,0.72999996,-1.22,0.84999996
-1.49,1.5799999,-2.09,1.74,-1.39,1.56
-1.88,2.1699998,-2.47,2.33,-1.79,2.02
-2.1699998,1.64,-2.8899999,1.93,-2.1,1.55
-2.56,1.5699999,-3.46,1.79,-2.46,1.54
-3.09,1.8399999,-4.02,2.04,-3.05,1.6999999
-3.06,1.8499999,-4.02,2.12,-3.03,1.66
-2.9199998,0.83,-3.9499998,0.78,-2.97,0.69
-1.6899999,0.45999998,-2.77,0.24,-1.81,0.47
-1.26,0.13,-2.21,-0.14,-1.49,0.11
-0.90999997,0.08,-1.73,-0.21,-1.12,0.07
-0.51,0.14,-1.23,0.02,-0.79999995,0.14999999
-0.24,0.22,-0.93,0.19999999,-0.52,0.28
-0.22999999,0.28,-0.97999996,0.35,-0.45999998,0.38
-0.26999998,0.32999998,-1.0799999,0.45,-0.5,0.44
-0.32999998,0.28,-1.1999999,0.32999998,-0.66999996,0.38
-0.52,0.17,-1.43,0.099999994,-1.12,0.26
-0.65999997,-0.089999996,-1.5799999,-0.37,-1.18,-0.12
-0.59,-0.51,-1.38,-0.95,-1.01,-0.61
-0.75,-0.68,-1.36,-1.2099999,-0.96999997,-0.72999996
-0.38,-1.0699999,-0.95,-1.4399999,-0.58,-1.01
0.02,-0.79999995,-0.48999998,-1.18,-0.19999999,-0.59
0.17,-0.39999998,-0.24,-0.75,-0.01,-0.06
0.0,0.049999997,-0.39999998,-0.12,-0.099999994,0.38
-0.21,0.78,-0.64,0.7,-0.32,0.96999997
-0.47,1.01,-1.02,1.06,-0.55,1.02
-0.7,1.0799999,-1.36,1.05,-0.68,1.02
-0.7,1.42,-1.4599999,1.4499999,-0.85999995,1.3299999
